Date,Price,Open,High,Low,Vol.,Change %
2020-09-24,"1,053.30","1,050.00","1,058.80","1,040.00",1.78K,0.04%
2020-09-23,"1,052.90","1,067.00","1,067.00","1,049.10",12.03K,-1.40%
2020-09-22,"1,067.80","1,071.00","1,073.90","1,058.40",12.54K,0.37%
2020-09-21,"1,063.90","1,098.00","1,098.90","1,047.20",18.22K,-2.47%
2020-09-18,"1,090.80","1,110.00","1,112.70","1,088.50",13.71K,-1.53%
2020-09-17,"1,107.70","1,107.10","1,109.50","1,095.10",15.07K,-0.73%
2020-09-16,"1,115.80","1,120.90","1,121.90","1,112.20",13.10K,-0.34%
2020-09-15,"1,119.60","1,123.60","1,127.30","1,113.30",14.48K,-0.16%
2020-09-14,"1,121.40","1,117.10","1,123.00","1,111.40",13.19K,0.87%
2020-09-11,"1,111.70","1,088.10","1,113.80","1,081.00",16.49K,1.83%
2020-09-10,"1,091.70","1,098.00","1,101.20","1,086.00",15.99K,-0.90%
2020-09-09,"1,101.60","1,102.50","1,102.90","1,089.10",13.24K,-0.39%
2020-09-08,"1,105.90","1,123.50","1,128.00","1,088.30",17.96K,-1.43%
2020-09-07,"1,122.00","1,125.80","1,125.80","1,118.00",8.70K,-0.37%
2020-09-04,"1,126.20","1,118.60","1,127.70","1,111.70",13.64K,1.47%
2020-09-03,"1,109.90","1,149.80","1,150.40","1,108.20",18.94K,-3.85%
2020-09-02,"1,154.30","1,145.30","1,158.40","1,142.40",13.87K,1.04%
2020-09-01,"1,142.40","1,141.00","1,152.70","1,140.50",11.86K,1.14%
2020-08-31,"1,129.50","1,130.00","1,130.00","1,129.00",0.00K,0.12%
2020-08-28,"1,128.10","1,125.00","1,132.50","1,120.70",0.01K,0.96%
2020-08-27,"1,117.40","1,123.30","1,125.10","1,116.00",0.09K,-0.35%
2020-08-26,"1,121.30","1,115.00","1,125.70","1,112.90",0.07K,1.04%
2020-08-25,"1,109.80","1,109.30","1,116.00","1,098.20",1.46K,0.11%
2020-08-24,"1,108.60","1,108.90","1,113.80","1,102.60",11.60K,0.38%
2020-08-21,"1,104.40","1,118.00","1,118.00","1,095.60",19.18K,0.09%
2020-08-20,"1,103.40","1,109.80","1,115.40","1,101.10",17.43K,-0.38%
2020-08-19,"1,107.60","1,109.00","1,119.90","1,103.40",16.66K,0.00%
2020-08-18,"1,107.60","1,099.00","1,115.30","1,097.70",18.50K,0.24%
2020-08-17,"1,105.00","1,091.90","1,109.60","1,091.90",14.56K,1.79%
2020-08-14,"1,085.60","1,073.40","1,090.00","1,073.40",15.12K,1.88%
2020-08-13,"1,065.60","1,075.00","1,083.80","1,063.60",15.11K,-1.10%
