Date,Price,Open,High,Low,Vol.,Change %,New Vol.
2015-09-24,656.0,645.1,658.4,642.2,34.97K,1.67,34970.0
2015-09-25,657.2,652.0,659.0,650.2,16.95K,0.18,16950.0
2015-09-28,648.1,656.7,662.0,646.4,29.52K,-1.38,29520.0
2015-09-29,649.6,646.0,653.0,638.6,30.60K,0.23,30600.0
2015-09-30,663.0,649.7,668.6,647.6,26.13K,2.06,26130.0
2015-10-01,665.2,683.0,696.9,662.1,57.40K,0.33,57400.0
2015-10-05,648.1,672.0,672.2,646.2,47.20K,-2.57,47200.0
2015-10-06,650.8,651.6,656.8,645.3,33.57K,0.42,33570.0
2015-10-07,663.1,652.0,670.7,652.0,41.04K,1.89,41040.0
2015-10-08,663.0,660.5,665.5,658.2,29.39K,-0.02,29390.0
2015-10-09,683.5,668.0,699.9,668.0,73.34K,3.09,73340.0
2015-10-12,682.8,684.9,697.2,680.0,39.60K,-0.1,39600.0
2015-10-13,680.7,680.0,691.4,677.5,31.64K,-0.31,31640.0
2015-10-14,681.5,682.9,686.4,676.2,27.13K,0.12,27130.0
2015-10-15,684.2,684.2,692.5,680.7,31.83K,0.4,31830.0
2015-10-16,684.6,686.4,691.3,682.7,20.90K,0.06,20900.0
2015-10-19,673.2,684.0,684.0,670.0,27.09K,-1.67,27090.0
2015-10-20,678.6,671.5,679.6,668.0,27.55K,0.8,27550.0
2015-10-21,674.0,676.3,678.6,667.5,26.11K,-0.68,26110.0
2015-10-22,673.5,679.5,682.5,672.6,12.62K,-0.07,12620.0
2015-10-23,682.1,674.7,691.1,672.6,36.61K,1.28,36610.0
2015-10-26,679.5,682.6,686.0,675.1,23.30K,-0.38,23300.0
2015-10-27,686.1,677.5,688.4,675.2,22.12K,0.97,22120.0
2015-10-28,682.9,684.3,687.5,676.0,27.16K,-0.47,27160.0
2015-10-29,675.0,681.8,687.0,673.8,25.42K,-1.16,25420.0
2015-10-30,660.5,675.0,675.0,656.5,20.40K,-2.15,20400.0
2015-11-02,668.2,665.0,669.7,662.0,23.78K,1.17,23780.0
2015-11-03,655.6,668.5,670.6,654.5,34.70K,-1.89,34700.0
2015-11-04,651.7,660.3,664.0,649.3,36.69K,-0.59,36690.0
2015-11-05,649.3,651.4,653.9,639.3,38.00K,-0.37,38000.0
2015-11-06,641.6,647.5,650.8,640.1,29.05K,-1.19,29050.0
2015-11-09,638.4,645.2,647.0,637.5,22.66K,-0.5,22660.0
2015-11-10,635.1,637.0,642.9,629.3,31.50K,-0.52,31500.0
2015-11-11,629.2,629.8,631.2,627.5,4.30K,-0.93,4300.0
2015-11-12,623.1,631.0,635.5,622.1,18.01K,-0.97,18010.0
2015-11-13,626.2,625.4,630.8,621.2,22.43K,0.5,22430.0
2015-11-16,615.7,626.3,629.8,614.4,24.92K,-1.68,24920.0
2015-11-17,602.6,615.0,617.2,601.6,33.72K,-2.13,33720.0
2015-11-18,597.0,603.4,609.7,595.4,34.95K,-0.93,34950.0
2015-11-19,592.6,595.9,600.4,588.7,34.25K,-0.74,34250.0
2015-11-20,574.4,588.5,598.4,572.1,57.12K,-3.07,57120.0
2015-11-23,549.2,552.1,559.4,542.4,48.04K,-4.39,48040.0
2015-11-24,584.0,550.5,588.7,549.4,64.08K,6.34,64080.0
2015-11-25,592.1,581.4,595.8,572.5,30.02K,1.39,30020.0
2015-11-26,608.0,596.0,618.5,596.0,49.12K,2.69,49120.0
